ville,pays,latitude,longitude,date_entiere,heure,aqi,pm2_5,pm10,no2,so2,o3,co,no,nh3
Antananarivo,MG,-18.8792,47.5079,2025-07-01,0,20,1.31,2.8,0.22,0.07,42.45,69.54,0,0.14
London,GB,51.5074,-0.1278,2025-07-01,0,62,17.21,22.1,11.27,4.43,95.8,144.15,0,0.57
New York,US,40.7128,-74.006,2025-07-01,0,39,9.4,11.02,3.96,0.88,68.99,142.09,0.01,0.29
Paris,FR,48.8566,2.3522,2025-07-01,0,20,3.31,4.15,3.57,0.25,42.68,93.15,0,6.11
Tokyo,JP,35.6895,139.6917,2025-07-01,0,39,7.59,16.44,1.05,1.84,83.4,133.25,0.17,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,1,20,1.3,2.85,0.22,0.07,42.48,69.69,0,0.15
London,GB,51.5074,-0.1278,2025-07-01,1,61,17.01,21.88,12.74,4.61,84.57,142.34,0,0.48
New York,US,40.7128,-74.006,2025-07-01,1,36,8.71,10.72,3.61,0.84,69.11,138.83,0,0.26
Paris,FR,48.8566,2.3522,2025-07-01,1,17,3.38,4.23,3.22,0.21,36.45,91.52,0,6.91
Tokyo,JP,35.6895,139.6917,2025-07-01,1,41,7.67,16.76,0.88,1.8,86.67,132.84,0.13,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,2,20,1.37,3.01,0.23,0.08,41.48,71.56,0,0.17
London,GB,51.5074,-0.1278,2025-07-01,2,60,16.4,21.18,15.13,4.91,71.66,139.25,0,0.42
New York,US,40.7128,-74.006,2025-07-01,2,34,8.06,10.39,3.31,0.82,69.27,136.19,0,0.27
Paris,FR,48.8566,2.3522,2025-07-01,2,15,3.45,4.3,2.98,0.17,31.95,90.63,0,7.38
Tokyo,JP,35.6895,139.6917,2025-07-01,2,41,7.66,17.11,0.84,1.83,87.55,132.05,0.1,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,3,19,1.47,3.25,0.26,0.09,41.07,73.88,0,0.18
London,GB,51.5074,-0.1278,2025-07-01,3,58,15.65,20.36,18.18,5.4,58.74,135.07,0,0.42
New York,US,40.7128,-74.006,2025-07-01,3,32,7.33,9.95,3.19,0.83,67.42,134.43,0,0.33
Paris,FR,48.8566,2.3522,2025-07-01,3,15,3.51,4.34,2.82,0.12,29.34,89.73,0,7.42
Tokyo,JP,35.6895,139.6917,2025-07-01,3,41,7.65,17.46,0.89,1.88,87.02,131.2,0.07,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,4,19,1.71,3.77,0.36,0.12,40.48,79.31,0,0.27
London,GB,51.5074,-0.1278,2025-07-01,4,58,15.36,20.14,21.88,6.04,47.84,132.47,0,0.44
New York,US,40.7128,-74.006,2025-07-01,4,31,6.54,9.49,3,0.82,64.64,132.29,0,0.46
Paris,FR,48.8566,2.3522,2025-07-01,4,14,3.46,4.25,2.77,0.1,27.26,87.78,0,7.02
Tokyo,JP,35.6895,139.6917,2025-07-01,4,41,7.72,17.82,1.02,1.9,86.23,130.82,0.04,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,5,19,1.89,4.23,0.39,0.17,40.77,85.27,0.04,0.41
London,GB,51.5074,-0.1278,2025-07-01,5,60,16.21,21.2,26.72,6.75,40.09,133.73,0.29,0.44
New York,US,40.7128,-74.006,2025-07-01,5,29,5.77,8.83,2.71,0.81,61.55,129.23,0,0.63
Paris,FR,48.8566,2.3522,2025-07-01,5,14,3.47,4.22,3.46,0.1,25.46,87.71,0.05,6.56
Tokyo,JP,35.6895,139.6917,2025-07-01,5,40,7.85,18.14,1.16,1.92,85.51,130.69,0.03,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,6,20,1.92,4.33,0.31,0.19,42.89,87.47,0.08,0.51
London,GB,51.5074,-0.1278,2025-07-01,6,62,17.56,22.55,28.73,7.49,37.1,136.99,3.25,0.48
New York,US,40.7128,-74.006,2025-07-01,6,28,5,7.74,2.54,0.85,58.8,126.79,0,0.81
Paris,FR,48.8566,2.3522,2025-07-01,6,15,3.49,4.22,4.13,0.12,25.95,88.79,0.69,6.16
Tokyo,JP,35.6895,139.6917,2025-07-01,6,40,7.95,18.37,1.28,1.96,85.13,130.39,0.03,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,7,23,1.56,3.55,0.19,0.16,49.5,80.18,0.05,0.46
London,GB,51.5074,-0.1278,2025-07-01,7,65,18.8,23.39,27.54,8.24,36.86,139.21,8.01,0.55
New York,US,40.7128,-74.006,2025-07-01,7,27,4.35,6.47,2.53,0.94,56.92,124.79,0,0.93
Paris,FR,48.8566,2.3522,2025-07-01,7,17,3.38,4.18,3.57,0.12,35.45,88.78,1.12,5.42
Tokyo,JP,35.6895,139.6917,2025-07-01,7,40,8.1,18.64,1.4,2,85.31,130.41,0.02,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,8,24,1.38,2.99,0.14,0.15,50.22,76.88,0.04,0.4
London,GB,51.5074,-0.1278,2025-07-01,8,67,19.72,23.93,26.15,8.98,36.26,140.64,12.21,0.56
New York,US,40.7128,-74.006,2025-07-01,8,26,3.95,5.5,2.59,1.05,55.22,122.77,0,1.01
Paris,FR,48.8566,2.3522,2025-07-01,8,16,3.41,4.39,3.21,0.13,34.25,87.68,1.56,5.56
Tokyo,JP,35.6895,139.6917,2025-07-01,8,40,8.31,18.93,1.59,2.03,85.37,130.63,0.02,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,9,23,1.21,2.45,0.11,0.13,48.57,73.74,0.03,0.33
London,GB,51.5074,-0.1278,2025-07-01,9,68,20.24,24.22,24.69,9.62,35.42,141.08,14.99,0.55
New York,US,40.7128,-74.006,2025-07-01,9,25,3.77,4.93,2.7,1.15,53.37,120.75,0,1.06
Paris,FR,48.8566,2.3522,2025-07-01,9,18,3.8,5.14,2.75,0.13,37.96,86.5,1.43,5.78
Tokyo,JP,35.6895,139.6917,2025-07-01,9,40,8.55,19.19,1.79,2.06,85.21,130.9,0.01,0
